ProductName,Price,PcBrand,PcModel,EltCondition,EltWarranty,LaptopScreenSize,PcCpu,PcRam,PcVga,PcDriveCapacity,EltOrigin,Address,ShopRating,Comments
Dell Latitude E7450 | i5-5300u | 8/256GB | New 98%,4950000.0,Dell,Latitude,Mới,4.0,13.95,Intel Core i5,8.0,Khác,256.0,,Hải Phòng,5.0,13.0
"ASUS mới 99% SSD, 8GB RAM",4500000.0,Asus,Dòng Khác,Mới,0.0,13.95,Intel Celeron,8.0,Onboard,250.0,,Tp Hồ Chí Minh,5.0,1.0
Dell XPS 7390 2in1 i7-1065G7/16Gb/512Gb/Touch FHD,16700000.0,Dell,XPS,Đã sử dụng (chưa sửa chữa),3.0,13.95,Intel Core i7,16.0,Onboard,512.0,Mỹ,Tp Hồ Chí Minh,5.0,10.0
ACER NITRO CORE i7 11800H RTX3050Ti 144Hz ĐẸP KENG,17500000.0,Acer,Nitro 5,Đã sử dụng (chưa sửa chữa),0.0,15.95,Intel Core i7,8.0,NVIDIA,512.0,,Tp Hồ Chí Minh,4.9,43.0
Dell i3 thế hệ 6,3300000.0,Dell,Inspiron,Đã sử dụng (chưa sửa chữa),0.0,15.95,Intel Core i3,4.0,Onboard,128.0,,Tp Hồ Chí Minh,4.9,7.0
Legion 5 15ACH6 R5 5600H Vga 3050 165hz Bh 1/2026,18500000.0,Lenovo,Legion Y Series,Đã sử dụng (chưa sửa chữa),4.0,15.95,Ryzen 5,8.0,NVIDIA,512.0,,Tp Hồ Chí Minh,4.8,43.0
Laptop Dell Latitude 7480 Core i5-6300U 8GB 256GB,5500000.0,Dell,Latitude,Đã sử dụng (chưa sửa chữa),,13.95,Intel Core i5,8.0,Onboard,256.0,,Hà Nội,0.0,
𝐢𝐦ac 2015 5k 27 𝐢𝐧𝐜𝐡 𝐢5 𝐑𝐚𝐦 16𝐆𝐁 128 SSD 1Tb hdd,9990000.0,Apple,Dòng Khác,Đã sử dụng (chưa sửa chữa),4.0,19.95,Intel Core i5,16.0,NVIDIA,1500.0,,Hà Nội,4.9,11.0
"Surface Book 2 13,5inch i7-8650UU/8GB/256GB GPU",10200000.0,Microsoft,Surface Book 2,Đã sử dụng (chưa sửa chữa),,,Intel Core i7,8.0,NVIDIA,256.0,,Tp Hồ Chí Minh,4.3,13.0
Dell XPS 7590 i5 Gen 9 Ram 16/256 GTX 1650 4GB,11200000.0,Dell,XPS,Đã sử dụng (chưa sửa chữa),3.0,15.95,Intel Core i5,16.0,NVIDIA,256.0,,Tp Hồ Chí Minh,4.7,97.0
MacBook Pro 15 TouchPad 2019 i7 16g 256g 4gb,18900000.0,Apple,Macbook Pro Touch Bar,Đã sử dụng (chưa sửa chữa),0.0,15.95,Intel Core i7,16.0,AMD,256.0,,Tp Hồ Chí Minh,,
"Dell Latitude E5470, i5-6300U, ram 8GB, SSD 120GB",5000000.0,Dell,Latitude,Đã sử dụng (qua sửa chữa),0.0,13.95,Intel Core i5,8.0,Onboard,128.0,,Hải Phòng,,
laptop Hp folio core i5 mỏng dính,3200000.0,HP,Elitebook,Đã sử dụng (chưa sửa chữa),1.0,13.95,Intel Core i5,4.0,Khác,128.0,,Đà Nẵng,4.8,5.0
Dell XPS 7390 fullbox i7-10510U/16Gb/512Gb/FHD 99%,15700000.0,Dell,XPS,Đã sử dụng (chưa sửa chữa),3.0,13.95,Intel Core i7,16.0,Onboard,512.0,Mỹ,Tp Hồ Chí Minh,5.0,10.0
laptop acer,2000000.0,Acer,Aspire,Đã sử dụng (chưa sửa chữa),0.0,11.95,Intel Core i3,2.0,Khác,500.0,,Đồng Tháp,,
Asus TUF Gaming FX504GD,9000000.0,Asus,Dòng Khác,Đã sử dụng (chưa sửa chữa),0.0,15.95,Intel Core i5,16.0,NVIDIA,1000.0,,Tp Hồ Chí Minh,,
Asus TUF FX506HC i5 11400H/16G/512G/ RTX3050/144Hz,15500000.0,Asus,FX Series/ZX Series,Đã sử dụng (chưa sửa chữa),7.0,15.95,Intel Core i5,16.0,NVIDIA,512.0,,Tp Hồ Chí Minh,5.0,19.0
Razer Blade15 Model i7 10750H/ 32GB/ 512GB /144hz,23000000.0,Razer,Dòng Khác,Đã sử dụng (chưa sửa chữa),3.0,15.95,Intel Core i7,32.0,,512.0,,Tp Hồ Chí Minh,4.9,37.0
Asus Zephyrus M16 i7 12700H DDR5 16G 512G RTX3060,27000000.0,Asus,Dòng Khác,Đã sử dụng (chưa sửa chữa),4.0,15.95,Intel Core i7,16.0,NVIDIA,512.0,,Tp Hồ Chí Minh,4.4,4.0
Laptop Dell 7480 I5 6300U/8gb/ Ssd 256 Cảm ứng,5500000.0,Dell,Latitude,Đã sử dụng (chưa sửa chữa),0.0,13.95,Intel Core i7,8.0,AMD,256.0,,Đắk Lắk,5.0,3.0
Laptop ideapad,1800000.0,Hãng Khác,Dòng Khác,Đã sử dụng (chưa sửa chữa),0.0,13.95,Intel Celeron,2.0,Onboard,500.0,,Tp Hồ Chí Minh,5.0,15.0
Laptop màn to 17.3ing,6000000.0,Dell,Dòng Khác,Đã sử dụng (chưa sửa chữa),0.0,17.95,Intel Core i7,6.0,NVIDIA,64.0,,Hà Nội,2.9,2.0
