ProductName,Price,PcBrand,PcModel,EltCondition,EltWarranty,LaptopScreenSize,PcCpu,PcRam,PcVga,PcDriveCapacity,EltOrigin,Address,ShopRating,Comments
"Dell Latitude 5420, i5 1135G7 RAM 16 SSD 512 Touch",18990000.0,Dell,Latitude,Đã sử dụng (chưa sửa chữa),,13.95,Intel Core i5,16.0,Onboard,512.0,,Tp Hồ Chí Minh,5.0,19.0
Laptop lai tablet Nhật Nec VKZ11 N3450/4/128/ 4h,2650000.0,Hãng Khác,Dòng Khác,Đã sử dụng (chưa sửa chữa),,11.95,Intel Celeron,4.0,,128.0,,Tp Hồ Chí Minh,3.7,8.0
Dell Latitude 3420 i5 1135G7 RAM 8G SSD 256 HDD 1T,22890000.0,Dell,Latitude,Mới,,13.95,Intel Core i5,8.0,Onboard,256.0,,Tp Hồ Chí Minh,5.0,19.0
laptop asus zenbook 14 xanh dương hàng used,9500000.0,Asus,Zenbook Series,Đã sử dụng (chưa sửa chữa),0.0,13.95,Intel Core i5,8.0,Onboard,512.0,,Tp Hồ Chí Minh,,
"Dell Latitude 7490 i7 8650u, RAM 8 GB, SSD 256 GB",9990000.0,Dell,Latitude,Mới,,13.95,Intel Core i7,8.0,Onboard,256.0,,Tp Hồ Chí Minh,5.0,19.0
"Laptop LG Gram siêu nhẹ, siêu mượt, siêu đẹp",13500000.0,LG,Gram,Đã sử dụng (chưa sửa chữa),,15.95,Intel Core i5,8.0,,512.0,,Cần Thơ,5.0,1.0
Laptop Dell Latitude 5480,4350000.0,Dell,Latitude,Đã sử dụng (chưa sửa chữa),1.0,13.95,Intel Core i5,8.0,Onboard,256.0,,Hà Nội,5.0,1.0
"TOSHIBA MÀN 17.3INH, PIN MỚI, RAM 4GB, HD 750t",2300000.0,Toshiba,Dòng Khác,Đã sử dụng (chưa sửa chữa),4.0,17.95,AMD,4.0,Onboard,500.0,,Tp Hồ Chí Minh,3.9,7.0
𝐋𝐚𝐩𝐭𝐨𝐩 𝐃𝐞𝐥𝐥 – 𝐂𝐨𝐫𝐞 𝐢𝟕 – 𝐑𝐀𝐌 𝟖𝐆𝐁 – 𝟏𝟒 𝐢𝐧 𝐌𝐎̉𝐍𝐆 𝐍𝐇𝐄̣,5900000.0,Dell,Dòng Khác,Đã sử dụng (chưa sửa chữa),4.0,13.95,Intel Core i7,8.0,Onboard,128.0,,Tp Hồ Chí Minh,4.8,17.0
Dell E5250 I7 5600u Ram 4G SSD 128G mini gọn nhẹ,4900000.0,Dell,Latitude,Đã sử dụng (chưa sửa chữa),,11.95,Intel Core i7,4.0,Onboard,128.0,,Tp Hồ Chí Minh,4.7,4.0
